"Sex","Age","Pclass","Fare","SibSp","Parch","Survived"
"male",22,"3",7.25,1,0,"no"
"female",38,"1",71.2833,1,0,"yes"
"female",26,"3",7.925,0,0,"yes"
"female",35,"1",53.1,1,0,"yes"
"male",35,"3",8.05,0,0,"no"
"male",25.14,"3",8.4583,0,0,"no"
"male",54,"1",51.8625,0,0,"no"
"male",2,"3",21.075,3,1,"no"
"female",27,"3",11.1333,0,2,"yes"
"female",14,"2",30.0708,1,0,"yes"
"female",4,"3",16.7,1,1,"yes"
"female",58,"1",26.55,0,0,"yes"
"male",20,"3",8.05,0,0,"no"
"male",39,"3",31.275,1,5,"no"
"female",14,"3",7.8542,0,0,"no"
"female",55,"2",16,0,0,"yes"
"male",2,"3",29.125,4,1,"no"
"male",29.88,"2",13,0,0,"yes"
"female",31,"3",18,1,0,"no"
"female",25.14,"3",7.225,0,0,"yes"
"male",35,"2",26,0,0,"no"
"male",34,"2",13,0,0,"yes"
"female",15,"3",8.0292,0,0,"yes"
"male",28,"1",35.5,0,0,"yes"
"female",8,"3",21.075,3,1,"no"
"female",38,"3",31.3875,1,5,"yes"
"male",25.14,"3",7.225,0,0,"no"
"male",19,"1",263,3,2,"no"
"female",25.14,"3",7.8792,0,0,"yes"
"male",25.14,"3",7.8958,0,0,"no"
"male",40,"1",27.7208,0,0,"no"
"female",38.23,"1",146.5208,1,0,"yes"
"female",25.14,"3",7.75,0,0,"yes"
"male",66,"2",10.5,0,0,"no"
"male",28,"1",82.1708,1,0,"no"
"male",42,"1",52,1,0,"no"
"male",25.14,"3",7.2292,0,0,"yes"
"male",21,"3",8.05,0,0,"no"
"female",18,"3",18,2,0,"no"
"female",14,"3",11.2417,1,0,"yes"
"female",40,"3",9.475,1,0,"no"
"female",27,"2",21,1,0,"no"
"male",25.14,"3",7.8958,0,0,"no"
"female",3,"2",41.5792,1,2,"yes"
"female",19,"3",7.8792,0,0,"yes"
"male",25.14,"3",8.05,0,0,"no"
"male",25.14,"3",15.5,1,0,"no"
"female",25.14,"3",7.75,0,0,"yes"
"male",25.14,"3",21.6792,2,0,"no"
"female",18,"3",17.8,1,0,"no"
"male",7,"3",39.6875,4,1,"no"
"male",21,"3",7.8,0,0,"no"
"female",49,"1",76.7292,1,0,"yes"
"female",29,"2",26,1,0,"yes"
"male",65,"1",61.9792,0,1,"no"
"male",38.23,"1",35.5,0,0,"yes"
"female",21,"2",10.5,0,0,"yes"
"male",28.5,"3",7.2292,0,0,"no"
"female",5,"2",27.75,1,2,"yes"
"male",11,"3",46.9,5,2,"no"
"male",22,"3",7.2292,0,0,"no"
"female",38,"1",80,0,0,"yes"
"male",45,"1",83.475,1,0,"no"
"male",4,"3",27.9,3,2,"no"
"male",38.23,"1",27.7208,0,0,"no"
"male",25.14,"3",15.2458,1,1,"yes"
"female",29,"2",10.5,0,0,"yes"
"male",19,"3",8.1583,0,0,"no"
"female",17,"3",7.925,4,2,"yes"
"male",26,"3",8.6625,2,0,"no"
"male",32,"2",10.5,0,0,"no"
"female",16,"3",46.9,5,2,"no"
"male",21,"2",73.5,0,0,"no"
"male",26,"3",14.4542,1,0,"no"
"male",32,"3",56.4958,0,0,"yes"
"male",25,"3",7.65,0,0,"no"
"male",25.14,"3",7.8958,0,0,"no"
"male",25.14,"3",8.05,0,0,"no"
"male",0.83,"2",29,0,2,"yes"
"female",30,"3",12.475,0,0,"yes"
"male",22,"3",9,0,0,"no"
"male",29,"3",9.5,0,0,"yes"
"female",25.14,"3",7.7875,0,0,"yes"
"male",28,"1",47.1,0,0,"no"
"female",17,"2",10.5,0,0,"yes"
"female",33,"3",15.85,3,0,"yes"
"male",16,"3",34.375,1,3,"no"
"male",25.14,"3",8.05,0,0,"no"
"female",23,"1",263,3,2,"yes"
"male",24,"3",8.05,0,0,"no"
"male",29,"3",8.05,0,0,"no"
"male",20,"3",7.8542,0,0,"no"
"male",46,"1",61.175,1,0,"no"
"male",26,"3",20.575,1,2,"no"
"male",59,"3",7.25,0,0,"no"
"male",25.14,"3",8.05,0,0,"no"
"male",71,"1",34.6542,0,0,"no"
"male",23,"1",63.3583,0,1,"yes"
"female",34,"2",23,0,1,"yes"
"male",34,"2",26,1,0,"no"
"female",28,"3",7.8958,0,0,"no"
"male",25.14,"3",7.8958,0,0,"no"
"male",21,"1",77.2875,0,1,"no"
"male",33,"3",8.6542,0,0,"no"
"male",37,"3",7.925,2,0,"no"
"male",28,"3",7.8958,0,0,"no"
"female",21,"3",7.65,0,0,"yes"
"male",25.14,"3",7.775,0,0,"yes"
"male",38,"3",7.8958,0,0,"no"
"female",25.14,"3",24.15,1,0,"yes"
"male",47,"1",52,0,0,"no"
"female",14.5,"3",14.4542,1,0,"no"
"male",22,"3",8.05,0,0,"no"
"female",20,"3",9.825,1,0,"no"
"female",17,"3",14.4583,0,0,"no"
"male",21,"3",7.925,0,0,"no"
"male",70.5,"3",7.75,0,0,"no"
"male",29,"2",21,1,0,"no"
"male",24,"1",247.5208,0,1,"no"
"female",2,"3",31.275,4,2,"no"
"male",21,"2",73.5,2,0,"no"
"male",25.14,"3",8.05,0,0,"no"
"male",32.5,"2",30.0708,1,0,"no"
"female",32.5,"2",13,0,0,"yes"
"male",54,"1",77.2875,0,1,"no"
"male",12,"3",11.2417,1,0,"yes"
"male",25.14,"3",7.75,0,0,"no"
"male",24,"3",7.1417,0,0,"yes"
"female",25.14,"3",22.3583,1,1,"yes"
"male",45,"3",6.975,0,0,"no"
"male",33,"3",7.8958,0,0,"no"
"male",20,"3",7.05,0,0,"no"
"female",47,"3",14.5,1,0,"no"
"female",29,"2",26,1,0,"yes"
"male",25,"2",13,0,0,"no"
"male",23,"2",15.0458,0,0,"no"
"female",19,"1",26.2833,0,2,"yes"
"male",37,"1",53.1,1,0,"no"
"male",16,"3",9.2167,0,0,"no"
"male",24,"1",79.2,0,0,"no"
"female",25.14,"3",15.2458,0,2,"no"
"female",22,"3",7.75,0,0,"yes"
"female",24,"3",15.85,1,0,"yes"
"male",19,"3",6.75,0,0,"no"
"male",18,"2",11.5,0,0,"no"
"male",19,"2",36.75,1,1,"no"
"male",27,"3",7.7958,0,0,"yes"
"female",9,"3",34.375,2,2,"no"
"male",36.5,"2",26,0,2,"no"
"male",42,"2",13,0,0,"no"
"male",51,"2",12.525,0,0,"no"
"female",22,"1",66.6,1,0,"yes"
"male",55.5,"3",8.05,0,0,"no"
"male",40.5,"3",14.5,0,2,"no"
"male",25.14,"3",7.3125,0,0,"no"
"male",51,"1",61.3792,0,1,"no"
"female",16,"3",7.7333,0,0,"yes"
"male",30,"3",8.05,0,0,"no"
"male",25.14,"3",8.6625,0,0,"no"
"male",25.14,"3",69.55,8,2,"no"
"male",44,"3",16.1,0,1,"no"
"female",40,"2",15.75,0,0,"yes"
"male",26,"3",7.775,0,0,"no"
"male",17,"3",8.6625,0,0,"no"
"male",1,"3",39.6875,4,1,"no"
"male",9,"3",20.525,0,2,"yes"
"female",38.23,"1",55,0,1,"yes"
"female",45,"3",27.9,1,4,"no"
"male",38.23,"1",25.925,0,0,"no"
"male",28,"3",56.4958,0,0,"no"
"male",61,"1",33.5,0,0,"no"
"male",4,"3",29.125,4,1,"no"
"female",1,"3",11.1333,1,1,"yes"
"male",21,"3",7.925,0,0,"no"
"male",56,"1",30.6958,0,0,"no"
"male",18,"3",7.8542,1,1,"no"
"male",25.14,"3",25.4667,3,1,"no"
"female",50,"1",28.7125,0,0,"no"
"male",30,"2",13,0,0,"no"
"male",36,"3",0,0,0,"no"
"female",25.14,"3",69.55,8,2,"no"
"male",29.88,"2",15.05,0,0,"no"
"male",9,"3",31.3875,4,2,"no"
"male",1,"2",39,2,1,"yes"
"female",4,"3",22.025,0,2,"yes"
"male",38.23,"1",50,0,0,"no"
"female",25.14,"3",15.5,1,0,"yes"
"male",45,"1",26.55,0,0,"yes"
"male",40,"3",15.5,1,1,"no"
"male",36,"3",7.8958,0,0,"no"
"female",32,"2",13,0,0,"yes"
"male",19,"2",13,0,0,"no"
"female",19,"3",7.8542,1,0,"yes"
"male",3,"2",26,1,1,"yes"
"female",44,"1",27.7208,0,0,"yes"
"female",58,"1",146.5208,0,0,"yes"
"male",25.14,"3",7.75,0,0,"no"
"male",42,"3",8.4042,0,1,"no"
"female",25.14,"3",7.75,0,0,"yes"
"female",24,"2",13,0,0,"no"
"male",28,"3",9.5,0,0,"no"
"male",25.14,"3",69.55,8,2,"no"
"male",34,"3",6.4958,0,0,"no"
"male",45.5,"3",7.225,0,0,"no"
"male",18,"3",8.05,0,0,"yes"
"female",2,"3",10.4625,0,1,"no"
"male",32,"3",15.85,1,0,"no"
"male",26,"3",18.7875,0,0,"yes"
"female",16,"3",7.75,0,0,"yes"
"male",40,"1",31,0,0,"yes"
"male",24,"3",7.05,0,0,"no"
"female",35,"2",21,0,0,"yes"
"male",22,"3",7.25,0,0,"no"
"male",30,"2",13,0,0,"no"
"male",25.14,"3",7.75,1,0,"no"
"female",31,"1",113.275,1,0,"yes"
"female",27,"3",7.925,0,0,"yes"
"male",42,"2",27,1,0,"no"
"female",32,"1",76.2917,0,0,"yes"
"male",30,"2",10.5,0,0,"no"
"male",16,"3",8.05,0,0,"yes"
"male",27,"2",13,0,0,"no"
"male",51,"3",8.05,0,0,"no"
"male",25.14,"3",7.8958,0,0,"no"
"male",38,"1",90,1,0,"yes"
"male",22,"3",9.35,0,0,"no"
"male",19,"2",10.5,0,0,"yes"
"male",20.5,"3",7.25,0,0,"no"
"male",18,"2",13,0,0,"no"
"female",25.14,"3",25.4667,3,1,"no"
"female",35,"1",83.475,1,0,"yes"
"male",29,"3",7.775,0,0,"no"
"male",59,"2",13.5,0,0,"no"
"female",5,"3",31.3875,4,2,"yes"
"male",24,"2",10.5,0,0,"no"
"female",25.14,"3",7.55,0,0,"no"
"male",44,"2",26,1,0,"no"
"female",8,"2",26.25,0,2,"yes"
"male",19,"2",10.5,0,0,"no"
"male",33,"2",12.275,0,0,"no"
"female",25.14,"3",14.4542,1,0,"no"
"female",25.14,"3",15.5,1,0,"yes"
"male",29,"2",10.5,0,0,"no"
"male",22,"3",7.125,0,0,"no"
"male",30,"3",7.225,0,0,"no"
"male",44,"1",90,2,0,"no"
"female",25,"3",7.775,0,0,"no"
"female",24,"2",14.5,0,2,"yes"
"male",37,"1",52.5542,1,1,"yes"
"male",54,"2",26,1,0,"no"
"male",25.14,"3",7.25,0,0,"no"
"female",29,"3",10.4625,1,1,"no"
"male",62,"1",26.55,0,0,"no"
"male",30,"3",16.1,1,0,"no"
"female",41,"3",20.2125,0,2,"no"
"female",29,"3",15.2458,0,2,"yes"
"female",38.23,"1",79.2,0,0,"yes"
"female",30,"1",86.5,0,0,"yes"
"female",35,"1",512.3292,0,0,"yes"
"female",50,"2",26,0,1,"yes"
"male",25.14,"3",7.75,0,0,"no"
"male",3,"3",31.3875,4,2,"yes"
"male",52,"1",79.65,1,1,"no"
"male",40,"1",0,0,0,"no"
"female",25.14,"3",7.75,0,0,"no"
"male",36,"2",10.5,0,0,"no"
"male",16,"3",39.6875,4,1,"no"
"male",25,"3",7.775,1,0,"yes"
"female",58,"1",153.4625,0,1,"yes"
"female",35,"1",135.6333,0,0,"yes"
"male",38.23,"1",31,0,0,"no"
"male",25,"3",0,0,0,"yes"
"female",41,"2",19.5,0,1,"yes"
"male",37,"1",29.7,0,1,"no"
"female",25.14,"3",7.75,0,0,"yes"
"female",63,"1",77.9583,1,0,"yes"
"female",45,"3",7.75,0,0,"no"
"male",29.88,"2",0,0,0,"no"
"male",7,"3",29.125,4,1,"no"
"female",35,"3",20.25,1,1,"yes"
"male",65,"3",7.75,0,0,"no"
"male",28,"3",7.8542,0,0,"no"
"male",16,"3",9.5,0,0,"no"
"male",19,"3",8.05,0,0,"yes"
"male",38.23,"1",26,0,0,"no"
"male",33,"3",8.6625,0,0,"no"
"male",30,"3",9.5,0,0,"yes"
"male",22,"3",7.8958,0,0,"no"
"male",42,"2",13,0,0,"yes"
"female",22,"3",7.75,0,0,"yes"
"female",26,"1",78.85,0,0,"yes"
"female",19,"1",91.0792,1,0,"yes"
"male",36,"2",12.875,0,0,"no"
"female",24,"3",8.85,0,0,"no"
"male",24,"3",7.8958,0,0,"no"
"male",38.23,"1",27.7208,0,0,"no"
"male",23.5,"3",7.2292,0,0,"no"
"female",2,"1",151.55,1,2,"no"
"male",38.23,"1",30.5,0,0,"yes"
"female",50,"1",247.5208,0,1,"yes"
"female",25.14,"3",7.75,0,0,"yes"
"male",25.14,"3",23.25,2,0,"yes"
"male",19,"3",0,0,0,"no"
"female",29.88,"2",12.35,0,0,"yes"
"male",25.14,"3",8.05,0,0,"no"
"male",0.92,"1",151.55,1,2,"yes"
"female",38.23,"1",110.8833,0,0,"yes"
"female",17,"1",108.9,1,0,"yes"
"male",30,"2",24,1,0,"no"
"female",30,"1",56.9292,0,0,"yes"
"female",24,"1",83.1583,0,0,"yes"
"female",18,"1",262.375,2,2,"yes"
"female",26,"2",26,1,1,"no"
"male",28,"3",7.8958,0,0,"no"
"male",43,"2",26.25,1,1,"no"
"female",26,"3",7.8542,0,0,"yes"
"female",24,"2",26,1,0,"yes"
"male",54,"2",14,0,0,"no"
"female",31,"1",164.8667,0,2,"yes"
"female",40,"1",134.5,1,1,"yes"
"male",22,"3",7.25,0,0,"no"
"male",27,"3",7.8958,0,0,"no"
"female",30,"2",12.35,0,0,"yes"
"female",22,"2",29,1,1,"yes"
"male",25.14,"3",69.55,8,2,"no"
"female",36,"1",135.6333,0,0,"yes"
"male",61,"3",6.2375,0,0,"no"
"female",36,"2",13,0,0,"yes"
"female",31,"3",20.525,1,1,"yes"
"female",16,"1",57.9792,0,1,"yes"
"female",25.14,"3",23.25,2,0,"yes"
"male",45.5,"1",28.5,0,0,"no"
"male",38,"1",153.4625,0,1,"no"
"male",16,"3",18,2,0,"no"
"female",38.23,"1",133.65,1,0,"yes"
"male",25.14,"3",7.8958,0,0,"no"
"male",29,"1",66.6,1,0,"no"
"female",41,"1",134.5,0,0,"yes"
"male",45,"3",8.05,0,0,"yes"
"male",45,"1",35.5,0,0,"no"
"male",2,"2",26,1,1,"yes"
"female",24,"1",263,3,2,"yes"
"male",28,"2",13,0,0,"no"
"male",25,"2",13,0,0,"no"
"male",36,"2",13,0,0,"no"
"female",24,"2",13,0,0,"yes"
"female",40,"2",13,0,0,"yes"
"female",25.14,"3",16.1,1,0,"yes"
"male",3,"3",15.9,1,1,"yes"
"male",42,"3",8.6625,0,0,"no"
"male",23,"3",9.225,0,0,"no"
"male",38.23,"1",35,0,0,"no"
"male",15,"3",7.2292,1,1,"no"
"male",25,"3",17.8,1,0,"no"
"male",25.14,"3",7.225,0,0,"no"
"male",28,"3",9.5,0,0,"no"
"female",22,"1",55,0,1,"yes"
"female",38,"2",13,0,0,"no"
"female",25.14,"3",7.8792,0,0,"yes"
"female",25.14,"3",7.8792,0,0,"yes"
"male",40,"3",27.9,1,4,"no"
"male",29,"2",27.7208,1,0,"no"
"female",45,"3",14.4542,0,1,"no"
"male",35,"3",7.05,0,0,"no"
"male",25.14,"3",15.5,1,0,"no"
"male",30,"3",7.25,0,0,"no"
"female",60,"1",75.25,1,0,"yes"
"female",25.14,"3",7.2292,0,0,"yes"
"female",25.14,"3",7.75,0,0,"yes"
"female",24,"1",69.3,0,0,"yes"
"male",25,"1",55.4417,1,0,"yes"
"male",18,"3",6.4958,1,0,"no"
"male",19,"3",8.05,0,0,"no"
"male",22,"1",135.6333,0,0,"no"
"female",3,"3",21.075,3,1,"no"
"female",38.23,"1",82.1708,1,0,"yes"
"female",22,"3",7.25,0,0,"yes"
"male",27,"1",211.5,0,2,"no"
"male",20,"3",4.0125,0,0,"no"
"male",19,"3",7.775,0,0,"no"
"female",42,"1",227.525,0,0,"yes"
"female",1,"3",15.7417,0,2,"yes"
"male",32,"3",7.925,0,0,"no"
"female",35,"1",52,1,0,"yes"
"male",25.14,"3",7.8958,0,0,"no"
"male",18,"2",73.5,0,0,"no"
"male",1,"3",46.9,5,2,"no"
"female",36,"2",13,0,0,"yes"
"male",25.14,"3",7.7292,0,0,"no"
"female",17,"2",12,0,0,"yes"
"male",36,"1",120,1,2,"yes"
"male",21,"3",7.7958,0,0,"yes"
"male",28,"3",7.925,2,0,"no"
"female",23,"1",113.275,1,0,"yes"
"female",24,"3",16.7,0,2,"yes"
"male",22,"3",7.7958,0,0,"no"
"female",31,"3",7.8542,0,0,"no"
"male",46,"2",26,0,0,"no"
"male",23,"2",10.5,0,0,"no"
"female",28,"2",12.65,0,0,"yes"
"male",39,"3",7.925,0,0,"yes"
"male",26,"3",8.05,0,0,"no"
"female",21,"3",9.825,1,0,"no"
"male",28,"3",15.85,1,0,"no"
"female",20,"3",8.6625,0,0,"no"
"male",34,"2",21,1,0,"no"
"male",51,"3",7.75,0,0,"no"
"male",3,"2",18.75,1,1,"yes"
"male",21,"3",7.775,0,0,"no"
"female",25.14,"3",25.4667,3,1,"no"
"male",25.14,"3",7.8958,0,0,"no"
"male",25.14,"3",6.8583,0,0,"no"
"female",33,"1",90,1,0,"yes"
"male",29.88,"2",0,0,0,"no"
"male",44,"3",7.925,0,0,"yes"
"female",25.14,"3",8.05,0,0,"no"
"female",34,"2",32.5,1,1,"yes"
"female",18,"2",13,0,2,"yes"
"male",30,"2",13,0,0,"no"
"female",10,"3",24.15,0,2,"no"
"male",25.14,"3",7.8958,0,0,"no"
"male",21,"3",7.7333,0,0,"no"
"male",29,"3",7.875,0,0,"no"
"female",28,"3",14.4,1,1,"no"
"male",18,"3",20.2125,1,1,"no"
"male",25.14,"3",7.25,0,0,"no"
"female",28,"2",26,1,0,"yes"
"female",19,"2",26,0,0,"yes"
"male",25.14,"3",7.75,0,0,"no"
"male",32,"3",8.05,0,0,"yes"
"male",28,"1",26.55,0,0,"yes"
"female",25.14,"3",16.1,1,0,"yes"
"female",42,"2",26,1,0,"yes"
"male",17,"3",7.125,0,0,"no"
"male",50,"1",55.9,1,0,"no"
"female",14,"1",120,1,2,"yes"
"female",21,"3",34.375,2,2,"no"
"female",24,"2",18.75,2,3,"yes"
"male",64,"1",263,1,4,"no"
"male",31,"2",10.5,0,0,"no"
"female",45,"2",26.25,1,1,"yes"
"male",20,"3",9.5,0,0,"no"
"male",25,"3",7.775,1,0,"no"
"female",28,"2",13,0,0,"yes"
